timestamp,amphora-00106840-3bfa-43d0-acdb-5fa78683d8ca,amphora-002a6401-7521-485b-a4fb-ede70de13870,amphora-0067676d-0ad2-4358-aa8b-cc9fbf926250,amphora-007a71c6-7f2c-42d7-ab40-3379953f1235,amphora-00853e9d-5b93-4ca2-86c1-ef4a1d9fe87e,amphora-0160da0f-e220-439b-9480-418c5c296531
2023-08-01 00:00:00+00:00,4.0,7.305555555555556,2.0,2.9583333333333335,,1.0
2023-08-01 01:00:00+00:00,4.0,8.291666666666666,2.4583333333333335,3.0,,1.0
2023-08-01 02:00:00+00:00,4.0,6.486111111111111,3.0,3.0,,1.0
2023-08-01 03:00:00+00:00,4.0,8.111111111111112,2.9166666666666665,3.0,,1.0
2023-08-01 04:00:00+00:00,4.0,7.597222222222222,2.0,3.0,,1.0
2023-08-01 05:00:00+00:00,4.0,8.48611111111111,2.0,3.0,,1.0
2023-08-01 06:00:00+00:00,4.0,2.625,2.2222222222222223,3.0,,1.0
2023-08-01 07:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-01 08:00:00+00:00,4.0,2.0277777777777777,3.0,3.0,,1.0
2023-08-01 09:00:00+00:00,4.0,2.0,2.444444444444444,3.0,,1.0
2023-08-01 10:00:00+00:00,4.0,2.0,2.444444444444444,3.0,,1.0
2023-08-01 11:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-01 12:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-01 13:00:00+00:00,4.0,2.0,2.1666666666666665,3.0,,1.0
2023-08-01 14:00:00+00:00,4.0,2.0,2.4722222222222223,3.0,,1.0
2023-08-01 15:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-01 16:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-01 17:00:00+00:00,4.0,2.0,2.055555555555556,2.8333333333333335,,1.0
2023-08-01 18:00:00+00:00,4.0,2.0,2.486111111111111,2.6805555555555554,,1.0
2023-08-01 19:00:00+00:00,4.0,2.0416666666666665,2.875,2.513888888888889,,1.0
2023-08-01 20:00:00+00:00,4.0,2.4027777777777777,3.0,2.347222222222222,,1.0
2023-08-01 21:00:00+00:00,4.0,2.0416666666666665,2.8333333333333335,2.0416666666666665,,1.0
2023-08-01 22:00:00+00:00,4.0,2.125,2.7083333333333335,2.0555555555555554,,1.0
2023-08-01 23:00:00+00:00,4.0,2.4027777777777777,2.625,2.513888888888889,,1.0
2023-08-02 00:00:00+00:00,4.0,7.569444444444444,2.263888888888889,2.9583333333333335,,1.0
2023-08-02 01:00:00+00:00,4.0,8.777777777777777,2.888888888888889,3.0,,1.0
2023-08-02 02:00:00+00:00,4.0,9.458333333333334,3.0,3.0555555555555554,,1.0
2023-08-02 03:00:00+00:00,4.0,9.569444444444445,2.5,3.0694444444444446,,1.0
2023-08-02 04:00:00+00:00,4.0,9.444444444444445,2.0,3.125,,1.0
2023-08-02 05:00:00+00:00,4.0,8.805555555555555,2.0,3.0,,1.0
2023-08-02 06:00:00+00:00,4.0,3.736111111111111,2.75,3.0,,1.0
2023-08-02 07:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-02 08:00:00+00:00,4.0,2.0416666666666665,2.1527777777777777,3.0,,1.0
2023-08-02 09:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-02 10:00:00+00:00,4.0,2.0416666666666665,2.0,3.0,,1.0
2023-08-02 11:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-02 12:00:00+00:00,4.0,2.0,2.25,3.0,,1.0
2023-08-02 13:00:00+00:00,4.0,2.0,2.3333333333333335,3.0,,1.0
2023-08-02 14:00:00+00:00,4.0,2.0416666666666665,2.555555555555556,3.0,,1.0
2023-08-02 15:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-02 16:00:00+00:00,4.0,2.0,2.5833333333333335,3.0,,1.0
2023-08-02 17:00:00+00:00,4.0,2.0,2.555555555555556,3.0,,1.0
2023-08-02 18:00:00+00:00,4.0,2.0,2.875,3.0,,1.0
2023-08-02 19:00:00+00:00,4.0,2.0277777777777777,2.0972222222222223,2.9583333333333335,,1.0
2023-08-02 20:00:00+00:00,4.0,2.361111111111111,2.0,2.7083333333333335,,1.0
2023-08-02 21:00:00+00:00,4.0,2.0277777777777777,2.0,2.0277777777777777,,1.0
2023-08-02 22:00:00+00:00,4.0,2.0833333333333335,2.9166666666666665,2.625,,1.0
2023-08-02 23:00:00+00:00,4.0,2.444444444444444,2.9444444444444446,2.9583333333333335,,1.0
2023-08-03 00:00:00+00:00,4.0,7.291666666666667,2.9166666666666665,3.0,,1.0
2023-08-03 01:00:00+00:00,4.0,8.61111111111111,3.0,3.0,,1.0
2023-08-03 02:00:00+00:00,4.0,8.347222222222223,2.222222222222222,3.0,,1.0
2023-08-03 03:00:00+00:00,4.0,9.083333333333334,2.444444444444444,3.0,,1.0
2023-08-03 04:00:00+00:00,4.0,8.902777777777777,2.2083333333333335,3.0,,1.0
2023-08-03 05:00:00+00:00,4.0,7.402777777777778,2.0,3.0,,1.0
2023-08-03 06:00:00+00:00,4.0,3.638888888888889,2.0,3.0,,1.0
2023-08-03 07:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-03 08:00:00+00:00,4.0,2.0277777777777777,2.0,3.0,,1.0
2023-08-03 09:00:00+00:00,4.0,2.0,2.9166666666666665,3.0,,1.0
2023-08-03 10:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-03 11:00:00+00:00,4.0,2.0,2.4583333333333335,3.0,,1.0
2023-08-03 12:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-03 13:00:00+00:00,4.0,2.0,2.444444444444444,3.0,,1.0
2023-08-03 14:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-03 15:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-03 16:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-03 17:00:00+00:00,4.0,2.0,2.444444444444444,3.0,,1.0
2023-08-03 18:00:00+00:00,4.0,2.0,2.638888888888889,3.0,,1.0
2023-08-03 19:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,,1.0
2023-08-03 20:00:00+00:00,4.0,2.4027777777777777,2.5,2.7083333333333335,,1.0
2023-08-03 21:00:00+00:00,4.0,2.0416666666666665,2.305555555555556,2.513888888888889,,1.0
2023-08-03 22:00:00+00:00,4.0,2.125,3.0,2.625,,1.0
2023-08-03 23:00:00+00:00,4.0,2.3333333333333335,3.0,2.972222222222222,,1.0
2023-08-04 00:00:00+00:00,4.0,7.194444444444444,2.875,3.0,,1.0
2023-08-04 01:00:00+00:00,4.0,8.027777777777777,2.388888888888889,3.0,,1.0
2023-08-04 02:00:00+00:00,4.0,4.902777777777778,2.0,3.0,,1.0
2023-08-04 03:00:00+00:00,4.0,9.152777777777777,2.902777777777778,3.0,,1.0
2023-08-04 04:00:00+00:00,4.0,8.847222222222223,3.0,3.0,,1.0
2023-08-04 05:00:00+00:00,4.0,6.694444444444444,2.388888888888889,3.0,,1.0
2023-08-04 06:00:00+00:00,4.0,3.6805555555555554,2.0,3.0,,1.0
2023-08-04 07:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-04 08:00:00+00:00,4.0,2.0416666666666665,2.555555555555556,3.0,,1.0
2023-08-04 09:00:00+00:00,4.0,2.0,2.5416666666666665,3.0,,1.0
2023-08-04 10:00:00+00:00,4.0,2.0416666666666665,2.5,3.0,,1.0
2023-08-04 11:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-04 12:00:00+00:00,4.0,2.0,2.2083333333333335,3.0,,1.0
2023-08-04 13:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-04 14:00:00+00:00,4.0,2.0,2.875,3.0,,1.0
2023-08-04 15:00:00+00:00,4.0,2.0,2.611111111111111,3.0,,1.0
2023-08-04 16:00:00+00:00,4.0,2.0,2.361111111111111,2.972222222222222,,1.0
2023-08-04 17:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-04 18:00:00+00:00,4.0,2.0,2.0,2.9583333333333335,,1.0
2023-08-04 19:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-04 20:00:00+00:00,4.0,2.0833333333333335,2.0,2.513888888888889,,1.0
2023-08-04 21:00:00+00:00,4.0,2.0,2.055555555555556,2.138888888888889,,1.0
2023-08-04 22:00:00+00:00,4.0,2.0833333333333335,3.0,2.25,,1.0
2023-08-04 23:00:00+00:00,4.0,2.0,2.777777777777778,2.763888888888889,,1.0
2023-08-05 00:00:00+00:00,4.0,2.0,2.5833333333333335,3.0,,1.0
2023-08-05 01:00:00+00:00,4.0,2.0,2.8333333333333335,3.0,,1.0
2023-08-05 02:00:00+00:00,4.0,2.0833333333333335,2.75,3.0,,1.0
2023-08-05 03:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 04:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 05:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 06:00:00+00:00,4.0,2.0,2.902777777777778,3.0,,1.0
2023-08-05 07:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 08:00:00+00:00,4.0,2.0,2.972222222222222,3.0,,1.0
2023-08-05 09:00:00+00:00,4.0,2.0,2.6666666666666665,3.0,,1.0
2023-08-05 10:00:00+00:00,4.0,2.0416666666666665,2.0,3.0,,1.0
2023-08-05 11:00:00+00:00,4.0,2.0,2.111111111111111,3.25,,1.0
2023-08-05 12:00:00+00:00,4.0,2.0,3.0,3.125,,1.0
2023-08-05 13:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 14:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 15:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 16:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-05 17:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,,1.0
2023-08-05 18:00:00+00:00,4.0,2.0,3.0,2.9305555555555554,,1.0
2023-08-05 19:00:00+00:00,4.0,2.0,2.9166666666666665,2.888888888888889,,1.0
2023-08-05 20:00:00+00:00,4.0,2.125,3.0,2.736111111111111,,1.0
2023-08-05 21:00:00+00:00,4.0,2.0,3.0,2.638888888888889,,1.0
2023-08-05 22:00:00+00:00,4.0,2.125,2.8194444444444446,2.6805555555555554,,1.0
2023-08-05 23:00:00+00:00,4.0,2.0,2.2222222222222223,2.902777777777778,,1.0
2023-08-06 00:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-06 01:00:00+00:00,4.0,2.0,2.305555555555556,3.0,,1.0
2023-08-06 02:00:00+00:00,4.0,2.0,2.902777777777778,3.0,,1.0
2023-08-06 03:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-06 04:00:00+00:00,4.0,2.0,2.6666666666666665,3.0,,1.0
2023-08-06 05:00:00+00:00,4.0,2.0416666666666665,2.9166666666666665,3.0,,1.0
2023-08-06 06:00:00+00:00,4.0,2.0,2.8333333333333335,3.0,,1.0
2023-08-06 07:00:00+00:00,4.0,2.0,2.7916666666666665,3.0,,1.0
2023-08-06 08:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-06 09:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-06 10:00:00+00:00,4.0,2.0,2.388888888888889,3.0,,1.0
2023-08-06 11:00:00+00:00,4.0,2.0,2.5,3.0,,1.0
2023-08-06 12:00:00+00:00,4.0,2.0277777777777777,2.8055555555555554,3.0,,1.0
2023-08-06 13:00:00+00:00,4.0,2.0,2.2916666666666665,3.0,,1.0
2023-08-06 14:00:00+00:00,4.0,2.0,2.9166666666666665,3.0,,1.0
2023-08-06 15:00:00+00:00,4.0,2.0,2.9166666666666665,3.277777777777778,,1.0
2023-08-06 16:00:00+00:00,4.0,2.0,2.875,3.0,,1.0
2023-08-06 17:00:00+00:00,4.0,2.0,2.0,2.972222222222222,,1.0
2023-08-06 18:00:00+00:00,4.0,2.0,2.0,2.9305555555555554,,1.0
2023-08-06 19:00:00+00:00,4.0,2.0,2.0,2.875,,1.0
2023-08-06 20:00:00+00:00,4.0,2.444444444444444,2.0,2.7083333333333335,,1.0
2023-08-06 21:00:00+00:00,4.0,2.055555555555556,2.0,2.5833333333333335,,1.0
2023-08-06 22:00:00+00:00,4.0,2.055555555555556,2.2222222222222223,2.569444444444444,,1.0
2023-08-06 23:00:00+00:00,4.0,2.5,3.0,2.9305555555555554,,1.0
2023-08-07 00:00:00+00:00,4.0,10.11111111111111,2.25,3.0,,1.0
2023-08-07 01:00:00+00:00,4.0,9.319444444444445,2.0,3.0,,1.0
2023-08-07 02:00:00+00:00,4.0,10.0,2.763888888888889,3.0,,1.0
2023-08-07 03:00:00+00:00,4.0,10.180555555555555,3.0,3.0,,1.0
2023-08-07 04:00:00+00:00,4.0,9.88888888888889,3.0,3.0,,1.0
2023-08-07 05:00:00+00:00,4.0,10.01388888888889,3.0,3.0,,1.0
2023-08-07 06:00:00+00:00,4.0,3.4583333333333335,2.75,3.0,,1.0
2023-08-07 07:00:00+00:00,4.0,2.0,2.0,3.0,,1.0
2023-08-07 08:00:00+00:00,4.0,2.0416666666666665,2.0,3.0,,1.0
2023-08-07 09:00:00+00:00,4.0,12.666666666666666,2.0,3.0,,1.0
2023-08-07 10:00:00+00:00,4.0,9.708333333333334,2.25,3.0,,1.0
2023-08-07 11:00:00+00:00,4.0,2.0,2.6805555555555554,3.0,,1.0
2023-08-07 12:00:00+00:00,4.0,2.0,2.8333333333333335,3.0,,1.0
2023-08-07 13:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-07 14:00:00+00:00,4.0,2.055555555555556,3.0,3.0,,1.0
2023-08-07 15:00:00+00:00,4.0,2.0,2.472222222222222,3.0,,1.0
2023-08-07 16:00:00+00:00,4.0,2.0,2.3333333333333335,3.0,,1.0
2023-08-07 17:00:00+00:00,4.0,2.0,2.2777777777777777,3.0,,1.0
2023-08-07 18:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-07 19:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-07 20:00:00+00:00,4.0,2.3333333333333335,3.0,2.472222222222222,,1.0
2023-08-07 21:00:00+00:00,4.0,2.0416666666666665,3.0,2.2083333333333335,,1.0
2023-08-07 22:00:00+00:00,4.0,2.1666666666666665,3.0,2.361111111111111,,1.0
2023-08-07 23:00:00+00:00,4.0,2.444444444444444,3.0,2.875,,1.0
2023-08-08 00:00:00+00:00,4.0,8.666666666666666,2.861111111111111,3.0,,1.0
2023-08-08 01:00:00+00:00,4.0,9.430555555555555,2.430555555555556,3.0,,1.0
2023-08-08 02:00:00+00:00,4.0,9.86111111111111,3.0,3.0,,1.0
2023-08-08 03:00:00+00:00,4.0,10.472222222222223,3.0,3.0,,1.0
2023-08-08 04:00:00+00:00,4.0,10.777777777777779,2.5972222222222223,3.0,,1.0
2023-08-08 05:00:00+00:00,4.0,9.944444444444445,2.8333333333333335,3.0,,1.0
2023-08-08 06:00:00+00:00,4.0,3.9305555555555554,3.0,3.0,,1.0
2023-08-08 07:00:00+00:00,4.0,2.0,2.263888888888889,3.0,,1.0
2023-08-08 08:00:00+00:00,4.0,2.0277777777777777,3.0,3.0,,1.0
2023-08-08 09:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-08 10:00:00+00:00,4.0,2.0,2.4166666666666665,3.0,,1.0
2023-08-08 11:00:00+00:00,4.0,2.0,2.0,2.8333333333333335,,1.0
2023-08-08 12:00:00+00:00,4.0,2.0416666666666665,2.625,2.9166666666666665,,1.0
2023-08-08 13:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-08 14:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-08 15:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-08 16:00:00+00:00,4.0,2.0,2.5,3.0,,1.0
2023-08-08 17:00:00+00:00,4.0,2.0,2.6944444444444446,3.0,,1.0
2023-08-08 18:00:00+00:00,4.0,2.0,2.5277777777777777,3.0,,1.0
2023-08-08 19:00:00+00:00,4.0,2.0277777777777777,3.0,3.0,,1.0
2023-08-08 20:00:00+00:00,4.0,2.430555555555556,3.0,3.0,,1.0
2023-08-08 21:00:00+00:00,4.0,2.0277777777777777,3.0,2.5833333333333335,,1.0
2023-08-08 22:00:00+00:00,4.0,2.125,3.0,2.888888888888889,,1.0
2023-08-08 23:00:00+00:00,4.0,2.4027777777777777,3.0,2.9583333333333335,,1.0
2023-08-09 00:00:00+00:00,4.0,9.333333333333334,3.0,3.0,,1.0
2023-08-09 01:00:00+00:00,4.0,9.333333333333334,2.75,3.0,,1.0
2023-08-09 02:00:00+00:00,4.0,9.875,2.3333333333333335,3.0,,1.0
2023-08-09 03:00:00+00:00,4.0,10.958333333333334,3.0,3.0,,1.0
2023-08-09 04:00:00+00:00,4.0,10.791666666666666,2.6666666666666665,3.0,,1.0
2023-08-09 05:00:00+00:00,4.0,9.680555555555555,2.888888888888889,3.0,,1.0
2023-08-09 06:00:00+00:00,4.0,3.8333333333333335,3.0,3.0,,1.0
2023-08-09 07:00:00+00:00,4.0,2.0,2.9305555555555554,3.0,,1.0
2023-08-09 08:00:00+00:00,4.0,2.0416666666666665,2.5416666666666665,3.0,,1.0
2023-08-09 09:00:00+00:00,4.0,2.0,3.0,3.0,,1.0
2023-08-09 10:00:00+00:00,4.0,2.0833333333333335,2.555555555555556,3.0,,1.0
2023-08-09 11:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-09 12:00:00+00:00,4.0,2.0,2.972222222222222,3.0,2.0,1.0
2023-08-09 13:00:00+00:00,4.0,2.0,2.6944444444444446,3.0,2.0,1.0
2023-08-09 14:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-09 15:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-09 16:00:00+00:00,4.0,2.0,2.9444444444444446,3.0,2.0,1.0
2023-08-09 17:00:00+00:00,4.0,2.0,2.9444444444444446,3.0,2.0,1.0
2023-08-09 18:00:00+00:00,4.0,2.0,2.8333333333333335,3.0,2.0,1.0
2023-08-09 19:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-09 20:00:00+00:00,4.0,2.388888888888889,3.0,3.0,2.0,1.0
2023-08-09 21:00:00+00:00,4.0,2.055555555555556,2.0416666666666665,2.8194444444444446,2.0,1.0
2023-08-09 22:00:00+00:00,4.0,2.0833333333333335,2.055555555555556,2.9583333333333335,2.0,1.0
2023-08-09 23:00:00+00:00,4.0,2.5416666666666665,3.0,2.9583333333333335,2.0,1.0
2023-08-10 00:00:00+00:00,4.0,8.625,2.9583333333333335,3.0,2.0,1.0
2023-08-10 01:00:00+00:00,4.0,9.305555555555555,2.5416666666666665,3.0,2.0,1.0
2023-08-10 02:00:00+00:00,4.0,10.01388888888889,2.0,3.0,2.0,1.0
2023-08-10 03:00:00+00:00,4.0,11.055555555555555,2.0,3.0,2.0,1.0
2023-08-10 04:00:00+00:00,4.0,10.958333333333334,2.0,3.0,2.0,1.0
2023-08-10 05:00:00+00:00,4.0,9.430555555555555,2.0,3.0,2.0,1.0
2023-08-10 06:00:00+00:00,4.0,3.625,2.0,3.0,2.0,1.0
2023-08-10 07:00:00+00:00,4.0,2.0,2.7916666666666665,3.0,2.0,1.0
2023-08-10 08:00:00+00:00,4.0,2.0277777777777777,3.0,3.0,2.0,1.0
2023-08-10 09:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-10 10:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-10 11:00:00+00:00,4.0,2.0,2.611111111111111,3.0,2.0,1.0
2023-08-10 12:00:00+00:00,4.0,2.0,2.722222222222222,3.0,2.0,1.0
2023-08-10 13:00:00+00:00,4.0,2.0,2.722222222222222,3.0,2.0,1.0
2023-08-10 14:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-10 15:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-10 16:00:00+00:00,4.0,2.0,2.7083333333333335,3.0,2.0,1.0
2023-08-10 17:00:00+00:00,4.0,2.0,2.5277777777777777,3.0,2.0,1.0
2023-08-10 18:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-10 19:00:00+00:00,4.0,2.0,2.375,3.0,2.0,1.0
2023-08-10 20:00:00+00:00,4.0,2.4166666666666665,3.0,3.0,2.0,1.0
2023-08-10 21:00:00+00:00,4.0,2.0416666666666665,3.0,2.902777777777778,2.0,1.0
2023-08-10 22:00:00+00:00,4.0,2.125,2.861111111111111,2.763888888888889,2.0,1.0
2023-08-10 23:00:00+00:00,4.0,2.4027777777777777,2.388888888888889,2.972222222222222,2.0,1.0
2023-08-11 00:00:00+00:00,4.0,9.51388888888889,2.722222222222222,3.0,2.0,1.0
2023-08-11 01:00:00+00:00,4.0,9.208333333333334,2.0,3.0,2.0,1.0
2023-08-11 02:00:00+00:00,4.0,9.527777777777777,2.0,3.0,2.0,1.0
2023-08-11 03:00:00+00:00,4.0,10.472222222222223,2.5416666666666665,3.0,2.0,1.0
2023-08-11 04:00:00+00:00,4.0,9.86111111111111,3.0,3.0,2.0,1.0
2023-08-11 05:00:00+00:00,4.0,9.402777777777779,2.361111111111111,3.0,2.0,1.0
2023-08-11 06:00:00+00:00,4.0,3.736111111111111,2.0,3.0,2.0,1.0
2023-08-11 07:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-11 08:00:00+00:00,4.0,2.0416666666666665,2.0,3.0,2.0,1.0
2023-08-11 09:00:00+00:00,4.0,2.0,2.5416666666666665,3.0,2.0,1.0
2023-08-11 10:00:00+00:00,4.0,2.0,2.1666666666666665,3.0,2.0,1.0
2023-08-11 11:00:00+00:00,4.0,2.0,2.4583333333333335,3.0,2.0,1.0
2023-08-11 12:00:00+00:00,4.0,2.0833333333333335,3.0,3.0,2.0,1.0
2023-08-11 13:00:00+00:00,4.0,2.0,2.4583333333333335,3.0,2.0,1.0
2023-08-11 14:00:00+00:00,4.0,2.0277777777777777,2.0833333333333335,3.0,2.0,1.0
2023-08-11 15:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-11 16:00:00+00:00,4.0,2.0,2.1666666666666665,3.0,2.0,1.0
2023-08-11 17:00:00+00:00,4.0,2.055555555555556,2.972222222222222,3.0,2.0,1.0
2023-08-11 18:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-11 19:00:00+00:00,4.0,2.0,2.25,3.0,2.0,1.0
2023-08-11 20:00:00+00:00,4.0,2.0833333333333335,2.0,3.0,2.0,1.0
2023-08-11 21:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-11 22:00:00+00:00,4.0,2.111111111111111,2.0,2.8333333333333335,2.0,1.0
2023-08-11 23:00:00+00:00,4.0,2.0,2.9583333333333335,2.972222222222222,2.0,1.0
2023-08-12 00:00:00+00:00,4.0,2.0,2.513888888888889,3.0,2.0,1.0
2023-08-12 01:00:00+00:00,4.0,2.0277777777777777,2.6666666666666665,3.0,2.0,1.0
2023-08-12 02:00:00+00:00,4.0,2.0833333333333335,2.0,3.0,2.0,1.0
2023-08-12 03:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-12 04:00:00+00:00,4.0,2.0,2.4583333333333335,3.0,2.0,1.0
2023-08-12 05:00:00+00:00,4.0,2.0,2.6666666666666665,3.0,2.0,1.0
2023-08-12 06:00:00+00:00,4.0,2.0,2.375,3.0,2.0,1.0
2023-08-12 07:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-12 08:00:00+00:00,4.0,2.0,2.5833333333333335,3.0,2.0,1.0
2023-08-12 09:00:00+00:00,4.0,2.0,2.7083333333333335,3.0,2.0,1.0
2023-08-12 10:00:00+00:00,4.0,2.0,2.5,3.0,2.0,1.0
2023-08-12 11:00:00+00:00,4.0,2.0,3.0,3.4166666666666665,2.0,1.0
2023-08-12 12:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-12 13:00:00+00:00,4.0,2.0,2.888888888888889,3.0,2.0,1.0
2023-08-12 14:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-12 15:00:00+00:00,4.0,2.0,2.9305555555555554,3.0,2.0,1.0
2023-08-12 16:00:00+00:00,4.0,2.0,2.972222222222222,3.0,2.0,1.0
2023-08-12 17:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-12 18:00:00+00:00,4.0,2.0,2.2916666666666665,3.0,2.0,1.0
2023-08-12 19:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,2.0,1.0
2023-08-12 20:00:00+00:00,4.0,2.125,2.9583333333333335,3.0,2.0,1.0
2023-08-12 21:00:00+00:00,4.0,2.0,3.0,3.0,2.0,1.0
2023-08-12 22:00:00+00:00,4.0,2.1666666666666665,3.0,2.9583333333333335,2.0,1.0
2023-08-12 23:00:00+00:00,4.0,2.0,3.0,2.972222222222222,2.0,1.0
2023-08-13 00:00:00+00:00,4.0,2.0,2.9166666666666665,3.0,2.0,1.0
2023-08-13 01:00:00+00:00,4.0,2.0,2.4027777777777777,3.0,2.0,1.0
2023-08-13 02:00:00+00:00,4.0,2.0,2.305555555555556,3.0,2.0,1.0
2023-08-13 03:00:00+00:00,4.0,2.0416666666666665,3.0,3.0,2.0,1.0
2023-08-13 04:00:00+00:00,4.0,2.0,2.972222222222222,3.0,2.0,1.0
2023-08-13 05:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
2023-08-13 06:00:00+00:00,4.0,2.0,2.0,3.0,2.0,1.0
